County ,Fire Name ,Start Date,End Date,Fire Size in Acre,Type of Terrian,Cause,Structures Damaged/Destroyed,Fire Fatalities ,Civil Fatalities 
RIVERSIDE,GILMAN,8/6/11,8/7/11,945,G,UNDETERMINED,0,0,0
NAPA,KNOXVILLE,8/13/11,8/15/11,506,B,UNDETERMINED,0,0,0
SOLANO,BEACON,8/27/11,8/30/11,715,BG,UNDETERMINED,0,0,0
LOS ANGELES,OASIS,8/27/11,8/29/11,375,B,LIGHTNING,0,0,0
RIVERSIDE,KELLER,8/29/11,8/31/11,450,BG,EQUIPMENT,0,0,0
"SAN 
BERNARDINO",HILL,9/2/11,9/8/11,"1,153",T,UNDETERMINED,5,0,0
"SAN LUIS 
OBISPO",SODA,9/3/11,9/4/11,"1,528",BG,EQUIPMENT,1,0,0
TULARE,ROADRUNNER,9/4/11,9/5/11,335,T,UNDETERMINED,0,0,0
KERN,CANYON,9/4/11,9/11/11,"14,585",T,EQUIPMENT,100,0,0
SAN JOAQUIN,MILTON,9/9/11,9/11/11,"1,122",G,LIGHTNING,0,0,0
KERN,"KEENE  
COMPLEX",9/10/11,9/14/11,"10,470",B,LIGHTNING,0,0,0
KERN,"COMANCHE  
COMPLEX",9/10/11,9/17/11,"29,338",BG,LIGHTNING,0,0,0
KERN,"BRECKENRIDGE 
COMPLEX",9/10/11,9/17/11,"25,213",BG,LIGHTNING,0,0,0
TULARE,TENNESSEE,9/11/11,9/12/11,380,G,LIGHTNING,0,0,0
INYO,JOHN,9/13/11,9/16/11,"5,300",BG,EQUIPMENT,0,0,0
TULARE,"TUU SEPT 
LIGHTNING",9/23/11,9/24/11,350,G,LIGHTNING,0,0,0
KERN,OLD FIRE,9/23/11,9/24/11,410,G,LIGHTNING,0,0,0
KERN,65 FIRE,9/23/11,9/24/11,"2,005",G,LIGHTNING,0,0,0
SAN DIEGO,GREAT,10/1/11,10/7/11,"2,135",GB,UNDETERMINED,0,0,0
CALAVERAS,BLUE,12/1/11,12/6/11,698,T,OTHER CAUSE,0,0,0
TULARE,GEORGE,6/1/12,6/15/12,"1,707",TB,UI,0,0,0
VENTURA,OZENA,6/16/12,6/17/12,361,B,UI,0,0,0
MARIPOSA,CASCADE,6/16/12,11/26/12,"1,705",T,LIGHTNING,0,0,0
KERN,GULCH,6/19/12,6/21/12,385,BG,HUMAN,1,0,0
VENTURA,HILL,6/23/12,6/27/12,689,B,UL,0,0,0
COLUSA,MILL,7/7/12,7/18/12,"29,502",TB,UI,5,0,0
TRINITY,FLAT,7/11/12,7/17/12,"1,688",TG,UI,0,0,0
FRESNO,WOODS CREEK,7/15/12,7/21/12,325,T,LIGHTNING,0,0,0
LASSEN,SPANISH,7/18/12,7/21/12,"1,169",GB,N/A,0,0,0
SHASTA,READING,7/23/12,8/21/12,"28,079",T,LIGHTNING,0,0,0
PLUMAS,PEAK,7/29/12,8/2/12,800,TB,UI,0,0,0
PLUMAS/LASSEN,CHIPS,7/29/12,8/31/12,"75,217",TBG,UI,9,0,0
SHASTA,SALT CREEK,8/1/12,8/4/12,980,TBG,UI,1,0,0
SISKIYOU,DILLON,8/3/12,8/7/12,318,T,HUMAN,0,0,0
KERN,PIUTE COMLEX,8/4/12,8/11/12,"1,783",TBG,LIGHTNING,0,0,0
